収支区分,発生日,取引先,勘定科目,金額,支払期日,支払日,支払口座,支払金額
収入,2026/01/20,テストクライアント,売上高,427624,2026/02/28,2026/02/28,テスト銀行 事業,427624
支出,2026/01/08,テスト決済,支払手数料,5163,2026/01/28,2026/01/28,テスト銀行 事業,5163
支出,2026/01/05,テストISP,通信費,6600,2026/01/28,2026/01/28,テスト銀行 事業,6600
支出,2026/01/05,テスト不動産,地代家賃,55000,2026/01/28,2026/01/28,テスト銀行 事業,55000
支出,2026/01/09,テストパートナー,外注費,96264,2026/01/28,2026/01/28,テスト銀行 事業,96264
支出,2026/01/07,テスト交通,旅費交通費,21382,2026/01/28,2026/01/28,テスト銀行 事業,21382
支出,2026/01/23,テスト事務用品,消耗品費,9698,2026/01/28,2026/01/28,テスト銀行 事業,9698
支出,2026/01/08,テスト広告,広告宣伝費,35483,2026/01/28,2026/01/28,テスト銀行 事業,35483
収入,2026/02/20,テストクライアント,売上高,396808,2026/03/28,2026/03/28,テスト銀行 事業,396808
支出,2026/02/15,テスト決済,支払手数料,5330,2026/02/28,2026/02/28,テスト銀行 事業,5330
支出,2026/02/05,テストISP,通信費,6600,2026/02/28,2026/02/28,テスト銀行 事業,6600
支出,2026/02/05,テスト不動産,地代家賃,55000,2026/02/28,2026/02/28,テスト銀行 事業,55000
支出,2026/02/13,テストパートナー,外注費,131368,2026/02/28,2026/02/28,テスト銀行 事業,131368
支出,2026/02/17,テスト交通,旅費交通費,21152,2026/02/28,2026/02/28,テスト銀行 事業,21152
支出,2026/02/15,テスト事務用品,消耗品費,9170,2026/02/28,2026/02/28,テスト銀行 事業,9170
支出,2026/02/13,テスト広告,広告宣伝費,26608,2026/02/28,2026/02/28,テスト銀行 事業,26608
収入,2026/03/20,テストクライアント,売上高,620000,2026/04/28,2026/04/28,テスト銀行 事業,620000
支出,2026/03/09,テスト決済,支払手数料,4804,2026/03/28,2026/03/28,テスト銀行 事業,4804
支出,2026/03/05,テストISP,通信費,6600,2026/03/28,2026/03/28,テスト銀行 事業,6600
支出,2026/03/05,テスト不動産,地代家賃,55000,2026/03/28,2026/03/28,テスト銀行 事業,55000
支出,2026/03/13,テストパートナー,外注費,112888,2026/03/28,2026/03/28,テスト銀行 事業,112888
支出,2026/03/14,テスト交通,旅費交通費,15689,2026/03/28,2026/03/28,テスト銀行 事業,15689
支出,2026/03/14,テスト事務用品,消耗品費,8309,2026/03/28,2026/03/28,テスト銀行 事業,8309
支出,2026/03/08,テスト広告,広告宣伝費,39603,2026/03/28,2026/03/28,テスト銀行 事業,39603
収入,2026/04/20,テストクライアント,売上高,428152,2026/05/28,2026/05/28,テスト銀行 事業,428152
支出,2026/04/20,テスト決済,支払手数料,5195,2026/04/28,2026/04/28,テスト銀行 事業,5195
支出,2026/04/05,テストISP,通信費,6600,2026/04/28,2026/04/28,テスト銀行 事業,6600
支出,2026/04/05,テスト不動産,地代家賃,55000,2026/04/28,2026/04/28,テスト銀行 事業,55000
支出,2026/04/09,テストパートナー,外注費,148104,2026/04/28,2026/04/28,テスト銀行 事業,148104
支出,2026/04/15,テスト交通,旅費交通費,19290,2026/04/28,2026/04/28,テスト銀行 事業,19290
支出,2026/04/15,テスト事務用品,消耗品費,11810,2026/04/28,2026/04/28,テスト銀行 事業,11810
支出,2026/04/12,テスト広告,広告宣伝費,26287,2026/04/28,2026/04/28,テスト銀行 事業,26287
収入,2026/05/20,テストクライアント,売上高,361708,2026/06/28,2026/06/28,テスト銀行 事業,361708
支出,2026/05/15,テスト決済,支払手数料,5190,2026/05/28,2026/05/28,テスト銀行 事業,5190
支出,2026/05/05,テストISP,通信費,6600,2026/05/28,2026/05/28,テスト銀行 事業,6600
支出,2026/05/05,テスト不動産,地代家賃,55000,2026/05/28,2026/05/28,テスト銀行 事業,55000
支出,2026/05/09,テストパートナー,外注費,120824,2026/05/28,2026/05/28,テスト銀行 事業,120824
支出,2026/05/22,テスト交通,旅費交通費,23977,2026/05/28,2026/05/28,テスト銀行 事業,23977
支出,2026/05/18,テスト事務用品,消耗品費,8693,2026/05/28,2026/05/28,テスト銀行 事業,8693
支出,2026/05/18,テスト広告,広告宣伝費,32693,2026/05/28,2026/05/28,テスト銀行 事業,32693
収入,2026/06/20,テストクライアント,売上高,620000,2026/07/28,2026/07/28,テスト銀行 事業,620000
支出,2026/06/18,テスト決済,支払手数料,4533,2026/06/28,2026/06/28,テスト銀行 事業,4533
支出,2026/06/05,テストISP,通信費,6600,2026/06/28,2026/06/28,テスト銀行 事業,6600
支出,2026/06/05,テスト不動産,地代家賃,55000,2026/06/28,2026/06/28,テスト銀行 事業,55000
支出,2026/06/17,テストパートナー,外注費,136832,2026/06/28,2026/06/28,テスト銀行 事業,136832
支出,2026/06/06,テスト交通,旅費交通費,23561,2026/06/28,2026/06/28,テスト銀行 事業,23561
支出,2026/06/11,テスト事務用品,消耗品費,11826,2026/06/28,2026/06/28,テスト銀行 事業,11826
支出,2026/06/23,テスト広告,広告宣伝費,17978,2026/06/28,2026/06/28,テスト銀行 事業,17978
収入,2026/07/20,テストクライアント,売上高,429664,2026/08/28,,,
支出,2026/07/19,テスト決済,支払手数料,4414,2026/07/28,2026/07/28,テスト銀行 事業,4414
支出,2026/07/05,テストISP,通信費,6600,2026/07/28,2026/07/28,テスト銀行 事業,6600
支出,2026/07/05,テスト不動産,地代家賃,55000,2026/07/28,2026/07/28,テスト銀行 事業,55000
支出,2026/07/17,テストパートナー,外注費,149272,2026/07/28,2026/07/28,テスト銀行 事業,149272
支出,2026/07/20,テスト交通,旅費交通費,23495,2026/07/28,2026/07/28,テスト銀行 事業,23495
支出,2026/07/07,テスト事務用品,消耗品費,8562,2026/07/28,2026/07/28,テスト銀行 事業,8562
支出,2026/07/08,テスト広告,広告宣伝費,28423,2026/07/28,2026/07/28,テスト銀行 事業,28423
収入,2026/08/20,テストクライアント,売上高,406348,2026/09/28,,,
支出,2026/08/23,テスト決済,支払手数料,4798,2026/08/28,2026/08/28,テスト銀行 事業,4798
支出,2026/08/05,テストISP,通信費,6600,2026/08/28,2026/08/28,テスト銀行 事業,6600
支出,2026/08/05,テスト不動産,地代家賃,55000,2026/08/28,2026/08/28,テスト銀行 事業,55000
支出,2026/08/21,テストパートナー,外注費,145816,2026/08/28,,,
支出,2026/08/13,テスト交通,旅費交通費,23508,2026/08/28,2026/08/28,テスト銀行 事業,23508
支出,2026/08/23,テスト事務用品,消耗品費,7238,2026/08/28,2026/08/28,テスト銀行 事業,7238
支出,2026/08/08,テスト広告,広告宣伝費,19463,2026/08/28,2026/08/28,テスト銀行 事業,19463
